route_id,service_id,trip_id,direction_id,shape_id
1,PSCO,1_PSCO_0_1,0,Ligne 50_0
1,PSCO,1_PSCO_1_1,1,Ligne 50_1
1,PSCO,1_PSCO_0_2,0,Ligne 50_0
1,PSCO,1_PSCO_1_2,1,Ligne 50_1
1,PSCO,1_PSCO_0_3,0,Ligne 50_0
1,PSCO,1_PSCO_1_3,1,Ligne 50_1
1,PSCO,1_PSCO_0_4,0,Ligne 50_0
1,PSCO,1_PSCO_1_4,1,Ligne 50_1
1,PSCO,1_PSCO_0_5,0,Ligne 50_0
1,PSCO,1_PSCO_1_5,1,Ligne 50_1
1,PSCO,1_PSCO_0_6,0,Ligne 50_0
1,PSCO,1_PSCO_1_6,1,Ligne 50_1
1,PSCO,1_PSCO_0_7,0,Ligne 50_0
1,PSCO,1_PSCO_1_7,1,Ligne 50_1
1,PSCO,1_PSCO_0_8,0,Ligne 50_0
1,PSCO,1_PSCO_1_8,1,Ligne 50_1
1,PSCO,1_PSCO_0_9,0,Ligne 50_0
1,PSCO,1_PSCO_1_9,1,Ligne 50_1
1,PSCO,1_PSCO_0_10,0,Ligne 50_0
1,PSCO,1_PSCO_1_10,1,Ligne 50_1
1,PSCO,1_PSCO_0_11,0,Ligne 50_0
1,PSCO,1_PSCO_1_11,1,Ligne 50_1
1,PSCO,1_PSCO_0_12,0,Ligne 50_0
1,PSCO,1_PSCO_1_12,1,Ligne 50_1
1,PSCO,1_PSCO_0_13,0,Ligne 50_0
1,PSCO,1_PSCO_1_13,1,Ligne 50_1
1,PSCO,1_PSCO_0_14,0,Ligne 50_0
1,PSCO,1_PSCO_1_14,1,Ligne 50_1
1,PSCO,1_PSCO_0_15,0,Ligne 50_0
1,PSCO,1_PSCO_1_15,1,Ligne 50_1
1,PSCO,1_PSCO_0_16,0,Ligne 50_0
1,PSCO,1_PSCO_1_16,1,Ligne 50_1
1,PSCO,1_PSCO_0_17,0,Ligne 50_0
1,PSCO,1_PSCO_1_17,1,Ligne 50_1
1,PSCO,1_PSCO_0_18,0,Ligne 50_0
1,PSCO,1_PSCO_1_18,1,Ligne 50_1
1,PSCO,1_PSCO_0_19,0,Ligne 50_0
1,PSCO,1_PSCO_1_19,1,Ligne 50_1
1,PSCO,1_PSCO_0_20,0,Ligne 50_0
1,PSCO,1_PSCO_1_20,1,Ligne 50_1
1,PSCO,1_PSCO_0_21,0,Ligne 50_0
1,PSCO,1_PSCO_1_21,1,Ligne 50_1
1,PSCO,1_PSCO_0_22,0,Ligne 50_0
1,PSCO,1_PSCO_1_22,1,Ligne 50_1
1,PSCO,1_PSCO_0_23,0,Ligne 50_0
1,PSCO,1_PSCO_1_23,1,Ligne 50_1
1,PSCO,1_PSCO_0_24,0,Ligne 50_0
1,PSCO,1_PSCO_1_24,1,Ligne 50_1
1,PSCO,1_PSCO_0_25,0,Ligne 50_0
1,PSCO,1_PSCO_1_25,1,Ligne 50_1
1,PSCO,1_PSCO_0_26,0,Ligne 50_0
1,PSCO,1_PSCO_1_26,1,Ligne 50_1
1,PSCO,1_PSCO_0_27,0,Ligne 50_0
1,PSCO,1_PSCO_1_27,1,Ligne 50_1
1,PSCO,1_PSCO_0_28,0,Ligne 50_0
1,PSCO,1_PSCO_1_28,1,Ligne 50_1
1,PSCO,1_PSCO_0_29,0,Ligne 50_0
1,PSCO,1_PSCO_1_29,1,Ligne 50_1
1,PSCO,1_PSCO_0_30,0,Ligne 50_0
1,PSCO,1_PSCO_1_30,1,Ligne 50_1
1,PSCO,1_PSCO_0_31,0,Ligne 50_0
1,PSCO,1_PSCO_1_31,1,Ligne 50_1
1,PSCO,1_PSCO_0_32,0,Ligne 50_0
1,PSCO,1_PSCO_1_32,1,Ligne 50_1
1,PSCO,1_PSCO_0_33,0,Ligne 50_0
1,PSCO,1_PSCO_1_33,1,Ligne 50_1
1,PSCO,1_PSCO_0_34,0,Ligne 50_0
